Table 1
Name,Description,Link,Price,Frequency,Category,
Bouqs,"A Bouqs subscription simplifies life when you want multiple deliveries each year for yourself or as a gift! You can set up Bouqs to arrive on a regular schedule, say once a month.",https://bouqs.com,Starts at $35,"Weekly, every 2 weeks, monthly,  or bimonthly.",Home & Garden,
FitFabFun,"Get the box filled with 8-10 full-sized, premium products. Indulge in the best in beauty, fitness, wellness, home, and everything in between.",https://fabfitfun.com/,$49.99 per box,Quarterly,Beauty,
Winc,4 bottles of wine (of your choosing) delivered to your door every month. Shipping is free.,https://www.winc.com/,Starts at $13/bottle,Monthly,Bevs,
MISHIBOX,The MISHIBOX K-Beauty Subscription Box delivers a combination of 5-6 deluxe-sized samples and full-sized Korean beauty products to you every month to help you discover your favorite Korean beauty products.,https://www.mishibox.com/,Starts at $19.95,Varies,Beauty,
FoodyDirect,"The online marketplace, which ships regional favorites all over the country, offers a variety of monthly ""food clubs"": There's the Ice Cream of the Month Club, the BBQ of the Month Club, the Pie of the Month Club, and more.",https://www.foodydirect.com/,Varies,Varies,Food,
TasteTrunk,"Customizable monthly subscription of sweet, savory or gourmet snacks.",https://www.tastetrunk.com/collections/subscription-themes,$99.00,Monthly,Food,
Try The World,Try the World curates a selection of gourmet foods — from ingredients to drinks and snacks — from a new country every month. They also include a guide that helps you create a culinary experience that will make you feel like you're anywhere from Argentina to Belgium.,https://www.trytheworld.com/,"$19 (snack box), $39 (country box",Monthly,Food,
Urth Box,"Focusing on Non-GMO, Organic and All Natural, every month we'll surprise you with full-size
products from trustworthy brands perfect for your home, personal life or the office.",https://www.urthbox.com/,$19.99 - $49.00 (Varies by chosen box size),Monthly,Food,
Graze,"Discover new flavors and enjoy healthier choices on a regular basis, with personalized graze boxes delivered to your door.",https://www.graze.com/us/,First box half price ($6.99) and your other boxes will cost $13.99 each,Every 2 weeks,Food,
StitchFix,"Try the personal styling service for everyone! No matter your age, size or budget we’ve got styles for you.",https://www.stitchfix.com/,Varies,Varies,Fashion,
Love Goodly,"Each box has a mix of full size products, focused on nontoxic and cruelty-free beauty and skincare, as well as eco-style or home accessories, healthy snacks and wellness products.",https://www.lovegoodly.com/,$29.95,Bimonthly,Beauty,
CAUSEBOX,"Each season, you will receive a limited edition curation of beautiful and useful products from socially conscious brands",https://causebox.com/,$49.95,Quarterly,Beauty,
Sweat Style,"Fitness apparel hand picked just for you. Tell us about your workouts, size and style preferences in our SweatStyle Profile. Choose your approximate ship date and frequency.",https://www.mysweatstyle.com/,Varies,Varies,Fashion,
Vellabox ,"Here at Vellabox, our mission is to curate the absolute best seasonal selection of all-natural candles.",https://www.vellabox.com/,Starts at $10,Monthly,Home & Garden,
Bean Box,Coffee subscription and gifts from the world's best artisan roasters.,https://beanbox.co/,Starts at $5,Monthly,Bevs,
Saloon Box,SaloonBox delivers all the ingredients you need to make two unique craft cocktails at home. Each month we feature two mixologists and their recipes with step-by-step instructions so you can mix like a pro.,https://saloonbox.com/,$37.50,Monthly,Bevs,
Ivory Clasp,Take our quiz and your personal stylist will pair you with bags that fit your style. Every month a new bag will arrive at your door step.,https://www.ivoryclasp.com/,$49.00,Monthly,Fashion,
Blue Apron,"Our chef-designed recipes include balanced Mediterranean meals, quick one-pan dinners, and top-rated customer favorites. All ingredients delivered fresh to your door.
",https://www.blueapron.com/,Starting at $7.49 per serving,Weekly,Food,
Glossy Box,"Discover the latest beauty treats, trends and tips. 5 products are delivered to your door every month.",https://www.glossybox.com/,Starts at $21.00,Monthly,Beauty,
Birch Box,"Get a personalized mix of makeup, hair, skincare, 
and fragrance samples every month.",https://www.birchbox.com/,$10.00,Monthly,Beauty,
Art In A Box,Subscribers receive a new work of fine art by a different local artist in each box.,http://artinabox.net/,$50.00,"Price listed is per month. (Subscribers can choose to receive boxes every month, every other month, quarterly, etc.)",Home & Garden,
Sundae Home,"We handpick 4-6 full size premium contemporary home decor essentials for each box, curated to fit each theme and season.",https://www.sundaehome.com/,$54.99,Bimonthly ,Home & Garden,
Wink Crate,Trendy prescription glasses delivered to you door each month.,https://winkcrate.cratejoy.com/,Starting at $32.95,Monthly,Fashion,
Bath Bevy,Carefully curated bath goodness and essentials delivered for the bath lover.,,$36.95,"Price listed is per month. (Subscribers can choose from monthly, quarterly, or 6 month subscriptions.)",Beauty,
Lavish Bath Box,"Curated subscription service for indie bath & body connoisseurs sending a fresh fun box of  5-7 cruelty-free & vegan-friendly products handmade in small batches from great brands and meticulously tailored to a specific fun theme every single month.
",http://www.lavishbathbox.com/,$38.95,"Price listed is per month. (Subscribers can choose from monthly, quarterly, 6 month, or annual subscriptions.)",Beauty,
TheraBox,"Each box contains 1 happiness boosting activity + 6 - 7 full size self care wellness goodies including aromatherapy, natural/organic beauty, & unique lifestyle products. ",https://www.mytherabox.com/,$34.99,"Price listed is per month. (Subscribers can choose from monthly, quarterly, 6 month, or annual subscriptions.)","Beauty, Health & Wellness",
Go Native,"Our box is an experience into what Hawaii is all about and more specifically, our culture founded on the values of aloha.  We work with small makers, artisans and farmers in alignment with the seasons bring you a beautiful box of health, beauty and culture.",https://www.mamalani.com/products/go-native-box-of-the-month,$40.00,Monthly,"Beauty, Heath & Wellness",
Goddess Provisions,"A monthly box that lights up your soul. Each box contains a mix of 5-7 full size products (aromatherapy, superfood snacks, crystals, spiritual growth tools, tea and apothecary beauty.",https://www.goddessprovisions.com/,$33.00,"Price listed is per month. (Subscribers can choose from monthly, quarterly, 6 month, or annual subscriptions.)","Beauty, Heath & Wellness",
Revival Kit,"Monthly kit with everything you need to unwind from daily stress. Includes 5-8 full sized products  (snacks, natural/organic beauty and body products, relaxation tools, etc.)",https://www.revivalkit.com/,$35.95,"Price listed is per month. (Subscribers can choose from monthly, quarterly, 6 month, or annual subscriptions.)",Heath & Wellness,
Laurel & Reed,"Laurel & Reed is the luxury beauty, wellness and lifestyle subscription box featuring top-shelf, non-toxic, all-natural and cruelty free full size products ranging from hair care, body and skincare and other top-shelf surprises. (4-6 full-sized products.)
",https://laurelandreed.com/,$49.95,"Price listed is per month. (Subscribers can choose from monthly, quarterly, or 6 month subscriptions.)",Beauty,
Indigo Beaux,"The ultimate luxurious experience with beauty, skincare, and relaxation products delivered monthly. Includes 4-5 full-size luxury items.",https://www.indigobeaux.com/,$65.99,"Price listed is per month. (Subscribers can choose from monthly, 6 month, or annual subscriptions.)","Beauty, Heath & Wellness",
Wild Woman ,"A monthly subscription box curated for women who get out, get moving, and get shit done! 4-7 items including a consumable that will keep you fueled and energized, a body product to support your well being, some gear to inspire your sense of adventure, badass inspiration pieces and Wild Woman exclusives.",https://www.wildwomanbox.com/,$37.95,Monthly,Health & Wellness,
